frame,idx,score,alpha,step_norm,z_coarse
62,2,10.1649,0.95,step,-1
62,3,10.6821,1.1,step,0
62,4,10.4231,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
63,0,5.70389,0.65,step,-3
63,1,7.75545,0.8,step,-2
63,2,10.1683,0.95,step,-1
63,3,10.6819,1.1,step,0
63,4,10.4222,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
64,0,5.70182,0.65,step,-3
64,1,7.75482,0.8,step,-2
64,2,10.1696,0.95,step,-1
64,3,10.6837,1.1,step,0
64,4,10.4232,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
65,0,5.70182,0.65,step,-3
65,1,7.75688,0.8,step,-2
65,2,10.1724,0.95,step,-1
65,3,10.6844,1.1,step,0
65,4,10.4225,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
66,0,5.70079,0.65,step,-3
66,1,7.75682,0.8,step,-2
66,2,10.1726,0.95,step,-1
66,3,10.686,1.1,step,0
66,4,10.4249,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
67,0,5.7027,0.65,step,-3
67,1,7.75555,0.8,step,-2
67,2,10.1737,0.95,step,-1
67,3,10.6879,1.1,step,0
67,4,10.4257,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
68,0,5.70339,0.65,step,-3
68,1,7.75477,0.8,step,-2
68,2,10.167,0.95,step,-1
68,3,10.6817,1.1,step,0
68,4,10.4225,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
69,0,5.70183,0.65,step,-3
69,1,7.75285,0.8,step,-2
69,2,10.1666,0.95,step,-1
69,3,10.6832,1.1,step,0
69,4,10.4258,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
70,0,5.70278,0.65,step,-3
70,1,7.75394,0.8,step,-2
70,2,10.1691,0.95,step,-1
70,3,10.6831,1.1,step,0
70,4,10.4232,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
71,0,5.70234,0.65,step,-3
71,1,7.75517,0.8,step,-2
71,2,10.1685,0.95,step,-1
71,3,10.68,1.1,step,0
71,4,10.4194,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
72,0,5.7001,0.65,step,-3
72,1,7.75007,0.8,step,-2
72,2,10.1645,0.95,step,-1
72,3,10.68,1.1,step,0
72,4,10.4217,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
73,0,5.70223,0.65,step,-3
73,1,7.75161,0.8,step,-2
73,2,10.1653,0.95,step,-1
73,3,10.6807,1.1,step,0
73,4,10.4213,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
74,0,5.70263,0.65,step,-3
74,1,7.75586,0.8,step,-2
74,2,10.1668,0.95,step,-1
74,3,10.6806,1.1,step,0
74,4,10.4204,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
75,0,5.70436,0.65,step,-3
75,1,7.75689,0.8,step,-2
75,2,10.1762,0.95,step,-1
75,3,10.6886,1.1,step,0
75,4,10.424,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
76,0,5.70267,0.65,step,-3
76,1,7.75405,0.8,step,-2
76,2,10.1685,0.95,step,-1
76,3,10.6812,1.1,step,0
76,4,10.4199,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
77,0,5.70351,0.65,step,-3
77,1,7.75633,0.8,step,-2
77,2,10.1664,0.95,step,-1
77,3,10.6799,1.1,step,0
77,4,10.4214,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
78,0,5.70403,0.65,step,-3
78,1,7.759,0.8,step,-2
78,2,10.172,0.95,step,-1
78,3,10.6836,1.1,step,0
78,4,10.4212,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
79,0,5.70785,0.65,step,-3
79,1,7.76146,0.8,step,-2
79,2,10.1769,0.95,step,-1
79,3,10.6875,1.1,step,0
79,4,10.4241,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
80,0,5.6977,0.65,step,-3
80,1,7.74712,0.8,step,-2
80,2,10.1578,0.95,step,-1
80,3,10.6739,1.1,step,0
80,4,10.4164,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
81,0,5.69882,0.65,step,-3
81,1,7.74724,0.8,step,-2
81,2,10.1582,0.95,step,-1
81,3,10.677,1.1,step,0
81,4,10.4215,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
82,0,5.70223,0.65,step,-3
82,1,7.75437,0.8,step,-2
82,2,10.1693,0.95,step,-1
82,3,10.6833,1.1,step,0
82,4,10.4222,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
83,0,5.70135,0.65,step,-3
83,1,7.75576,0.8,step,-2
83,2,10.1717,0.95,step,-1
83,3,10.6828,1.1,step,0
83,4,10.4179,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
84,0,5.69889,0.65,step,-3
84,1,7.74976,0.8,step,-2
84,2,10.1611,0.95,step,-1
84,3,10.677,1.1,step,0
84,4,10.4186,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
85,0,5.70276,0.65,step,-3
85,1,7.75683,0.8,step,-2
85,2,10.1716,0.95,step,-1
85,3,10.6847,1.1,step,0
85,4,10.4227,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
86,0,5.7051,0.65,step,-3
86,1,7.75816,0.8,step,-2
86,2,10.1735,0.95,step,-1
86,3,10.6856,1.1,step,0
86,4,10.4237,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
87,0,5.70204,0.65,step,-3
87,1,7.75309,0.8,step,-2
87,2,10.1664,0.95,step,-1
87,3,10.6827,1.1,step,0
87,4,10.425,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
88,0,5.6979,0.65,step,-3
88,1,7.74817,0.8,step,-2
88,2,10.1604,0.95,step,-1
88,3,10.6776,1.1,step,0
88,4,10.4201,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
89,0,5.70414,0.65,step,-3
89,1,7.75801,0.8,step,-2
89,2,10.1727,0.95,step,-1
89,3,10.6846,1.1,step,0
89,4,10.4236,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
90,0,5.70423,0.65,step,-3
90,1,7.75415,0.8,step,-2
90,2,10.1686,0.95,step,-1
90,3,10.6822,1.1,step,0
90,4,10.4206,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
91,0,5.70336,0.65,step,-3
91,1,7.75731,0.8,step,-2
91,2,10.1746,0.95,step,-1
91,3,10.6897,1.1,step,0
91,4,10.4291,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
92,0,5.70263,0.65,step,-3
92,1,7.75292,0.8,step,-2
92,2,10.166,0.95,step,-1
92,3,10.6815,1.1,step,0
92,4,10.4229,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
93,0,5.69949,0.65,step,-3
93,1,7.74953,0.8,step,-2
93,2,10.1611,0.95,step,-1
93,3,10.6775,1.1,step,0
93,4,10.4214,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
94,0,5.70367,0.65,step,-3
94,1,7.7555,0.8,step,-2
94,2,10.1675,0.95,step,-1
94,3,10.6799,1.1,step,0
94,4,10.4199,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
95,0,5.7015,0.65,step,-3
95,1,7.75176,0.8,step,-2
95,2,10.1688,0.95,step,-1
95,3,10.6852,1.1,step,0
95,4,10.4256,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
96,0,5.69997,0.65,step,-3
96,1,7.75103,0.8,step,-2
96,2,10.1649,0.95,step,-1
96,3,10.6826,1.1,step,0
96,4,10.4254,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
97,0,5.70333,0.65,step,-3
97,1,7.75661,0.8,step,-2
97,2,10.1704,0.95,step,-1
97,3,10.6844,1.1,step,0
97,4,10.4235,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
98,0,5.70378,0.65,step,-3
98,1,7.75592,0.8,step,-2
98,2,10.1708,0.95,step,-1
98,3,10.6844,1.1,step,0
98,4,10.4244,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
99,0,5.70242,0.65,step,-3
99,1,7.75538,0.8,step,-2
99,2,10.1708,0.95,step,-1
99,3,10.6857,1.1,step,0
99,4,10.4248,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
100,0,5.70275,0.65,step,-3
100,1,7.75458,0.8,step,-2
100,2,10.1673,0.95,step,-1
100,3,10.6827,1.1,step,0
100,4,10.4226,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
101,0,5.70447,0.65,step,-3
101,1,7.75624,0.8,step,-2
101,2,10.17,0.95,step,-1
101,3,10.6824,1.1,step,0
101,4,10.4196,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
102,0,5.70323,0.65,step,-3
102,1,7.75526,0.8,step,-2
102,2,10.1714,0.95,step,-1
102,3,10.688,1.1,step,0
102,4,10.4292,1.25,step,1

